   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
  189     119.802856       0.059210      10.664200     0.953   209.393    55.501   131.500   332.020    51.885    46.046     35.00     10.00    0
  190     119.801300       0.104400      10.664200     0.985   135.290    85.500    -3.160   225.538    86.850  -175.494     40.00     10.00    0
  191     119.799728       0.149590      10.664200     1.077   136.105    68.887     3.217    44.945    86.999   158.857     45.00     10.00    0
  192     119.798172       0.194780      10.664200     0.796   136.193    64.330   -10.332   230.708    80.697  -153.963     50.00     10.00    0
  193     119.855682      -1.929750       5.996290     0.309   145.791    22.844   164.830   249.819    84.169    67.874   -185.00     15.00    0
  194     119.854118      -1.884560       5.996290     0.224   154.794    43.659   178.637   245.779    89.059    46.350   -180.00     15.00    0
  195     119.852547      -1.839370       5.996290     0.231   249.872    55.027   -53.182    17.314    49.006  -130.586   -175.00     15.00    0
  196     119.850983      -1.794180       5.996290     0.567    84.668    25.522  -108.901   285.446    65.944   -81.208   -170.00     15.00    1
  197     119.849419      -1.748990       5.996290     0.952    91.134    28.580  -115.502   299.645    64.420   -76.800   -165.00     15.00    1
  198     119.847847      -1.703800       5.996290     1.133    92.734    31.711  -130.949   318.301    66.609   -67.955   -160.00     15.00    0
  199     119.846283      -1.658610       5.996290     1.177    88.113    41.650  -157.754   341.118    75.428   -50.538   -155.00     15.00    0
  200     119.844818      -1.613420       5.996290     1.381    89.972    59.330   178.974   180.495    89.118    30.674   -150.00     15.00    0
  201     119.843246      -1.568230       5.996290     1.682    94.741    63.460   174.244   187.320    84.852    26.656   -145.00     15.00    0
  202     119.841682      -1.523040       5.996290     1.935    96.476    64.778   168.891   191.258    79.962    25.643   -140.00     15.00    0
  203     119.840111      -1.477850       5.996290     2.046    97.253    66.013   166.896   192.659    78.045    24.553   -135.00     15.00    0
  204     119.838539      -1.432660       5.996290     1.990    98.457    67.478   169.250   192.616    80.079    22.883   -130.00     15.00    0
  205     119.836967      -1.387470       5.996290     1.770    97.615    72.402  -179.380     7.428    89.409   -17.599   -125.00     15.00    0
  206     119.835403      -1.342280       5.996290     1.536   358.313    74.856    -5.872    89.852    84.333  -164.779   -120.00     15.00    0
  207     119.833832      -1.297090       5.996290     1.518   346.815    73.381     1.081   256.506    88.964   163.378   -115.00     15.00    0
  208     119.832260      -1.251900       5.996290     1.834   337.792    80.683     6.618   246.716    83.470   170.621   -110.00     15.00    0
  209     119.830688      -1.206700       5.996290     2.281   333.348    88.916    10.401   243.149    79.600   178.897   -105.00     15.00    0
  210     119.829117      -1.161510       5.996290     2.699   151.630    82.848   -11.536   243.086    78.555  -172.702   -100.00     15.00    0
  211     119.827553      -1.116320       5.996290     2.871   153.676    82.830    -6.907   244.542    83.148  -172.778    -95.00     15.00    0
  212     119.825981      -1.071130       5.996290     2.782   338.044    87.665    -3.819    68.200    86.184  -177.659    -90.00     15.00    0
  213     119.824409      -1.025940       5.996290     2.778   342.814    78.135   -16.192    76.230    74.163  -167.659    -85.00     15.00    0
  214     119.822838      -0.980750       5.996290     2.971   348.603    76.670   -20.457    83.519    70.118  -165.808    -80.00     15.00    0
  215     119.821274      -0.935560       5.996290     3.278   352.299    76.862   -23.796    88.023    66.863  -165.690    -75.00     15.00    0
  216     119.819710      -0.890370       5.996290     3.539   352.608    73.389   -22.505    89.363    68.482  -162.104    -70.00     15.00    0
  217     119.818138      -0.845180       5.996290     3.747   349.595    68.269   -20.096    87.309    71.387  -157.003    -65.00     15.00    0
  218     119.816566      -0.799990       5.996290     3.906   346.117    64.616   -18.445    84.254    73.390  -153.426    -60.00     15.00    0
  219     119.815002      -0.754800       5.996290     3.980   343.152    62.138   -16.751    81.159    75.238  -151.099    -55.00     15.00    0
  220     119.813431      -0.709610       5.996290     3.904   341.977    63.817   -13.268    77.917    78.114  -153.199    -50.00     15.00    0
  221     119.811859      -0.664420       5.996290     3.765   341.320    68.074    -8.615    74.558    82.013  -157.848    -45.00     15.00    0
  222     119.810287      -0.619220       5.996290     3.552   341.529    73.507    -2.676    72.289    87.434  -163.490    -40.00     15.00    0
  223     119.808723      -0.574030       5.996290     3.339   341.460    73.509    -5.476    73.019    84.750  -163.438    -35.00     15.00    0
  224     119.807152      -0.528840       5.996290     3.228   341.066    67.834   -13.287    76.157    77.711  -157.286    -30.00     15.00    0
  225     119.805580      -0.483650       5.996290     3.185   342.583    63.242   -16.335    80.100    75.455  -152.282    -25.00     15.00    0
  226     119.804008      -0.438460       5.996290     3.288   346.661    61.097   -15.131    84.106    76.791  -150.234    -20.00     15.00    0
  227     119.802452      -0.393270       5.996290     3.564   350.769    58.520   -13.840    88.100    78.229  -147.763    -15.00     15.00    0
  228     119.800880      -0.348080       5.996290     3.886   353.660    57.183   -12.585    90.559    79.448  -146.545    -10.00     15.00    0
  229     119.799309      -0.302890       5.996290     4.020   355.239    56.565   -12.236    92.053    79.813  -145.957     -5.00     15.00    0
  230     119.797737      -0.257700       5.996290     3.929   355.318    56.324   -13.207    92.732    79.039  -145.612      0.00     15.00    0
  231     119.796173      -0.212500       5.996290     3.644   353.344    55.620   -16.908    93.084    76.112  -144.431      5.00     15.00    0
